,Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
0,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:46:29.193,2,0.003055098542756042,0.08843169170508261,FOV1,0.6861875759575367,0.7242620003441591,2456897.698640703
1,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:46:39.887,2,0.003063856536933548,0.0884307778026574,FOV1,0.6861891930323931,0.7242600205479063,2456897.6987644634
2,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:46:44.742,2,0.003067833054710938,0.0884303628678134,FOV1,0.6861899272586935,0.7242591216430269,2456897.6988206557
3,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:46:49.598,2,0.003071809573676101,0.08842994794370523,FOV1,0.6861906614868442,0.7242582227443766,2456897.6988768484
4,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:46:54.453,2,0.0030757860938899362,0.08842953303032616,FOV1,0.6861913957168512,0.7242573238519503,2456897.6989330407
5,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:46:59.308,2,0.0030797626152919495,0.0884291181276829,FOV1,0.6861921299487083,0.7242564249657523,2456897.698989233
6,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:47:04.164,2,0.0030837391380628887,0.08842870323575615,FOV1,0.6861928641824305,0.7242555260857702,2456897.6990454257
7,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:47:09.019,2,0.0030877156619626765,0.0884282883545715,FOV1,0.6861935984179995,0.7242546272120206,2456897.699101618
8,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:47:13.874,2,0.0030916921870509403,0.08842787348412158,FOV1,0.6861943326554198,0.7242537283444989,2456897.6991578103
9,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-08-28T04:47:18.730,2,0.00309566871350621,0.08842745862438922,FOV1,0.6861950668947052,0.7242528294831939,2456897.699214003
10,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:37:26.710,5,-0.003075512011224312,0.7986435581801201,FOV1,0.4607818460361377,0.7188566339449767,2456932.315517775
11,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:37:37.404,5,-0.003068288427175041,0.798638247381069,FOV1,0.46078692320091663,0.7188526684140385,2456932.315641537
12,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:37:42.259,5,-0.0030650085839271845,0.7986358360672893,FOV1,0.4607892284385187,0.7188508678865481,2456932.3156977305
13,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:37:47.114,5,-0.003061728729862984,0.7986334247679837,FOV1,0.4607915336641807,0.7188490673580911,2456932.3157539237
14,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:37:51.970,5,-0.003058448864981292,0.7986310134831595,FOV1,0.4607938388778982,0.7188472668286722,2456932.315810117
15,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:37:56.825,5,-0.0030551689892413295,0.7986286022128677,FOV1,0.4607961440796342,0.7188454662983134,2456932.3158663106
16,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:38:01.680,5,-0.0030518891026087556,0.7986261909571584,FOV1,0.4607984492693527,0.718843665767039,2456932.315922504
17,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:38:06.536,5,-0.00304860920504884,0.7986237797160757,FOV1,0.46080075444702295,0.7188418652348694,2456932.3159786975
18,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:38:11.391,5,-0.003045329296531627,0.7986213684896583,FOV1,0.4608030596126161,0.7188400647018226,2456932.3160348907
19,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T19:38:16.246,5,-0.0030420493770318808,0.7986189572779435,FOV1,0.46080536476610623,0.7188382641679154,2456932.3160910844
20,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:05.765,4,0.001256595290109969,0.7954782682398791,FOV2,0.46380964122337204,0.7164829263360328,2456932.3895779504
21,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:11.604,4,0.001260556313135798,0.7954753920041981,FOV2,0.4638123941882735,0.7164807600660646,2456932.3896455197
22,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:16.459,4,0.0012638505090835628,0.7954729999992483,FOV2,0.4638146836781566,0.7164789584871389,2456932.3897017133
23,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:21.314,4,0.0012671447157947028,0.7954706080088506,FOV2,0.46381697315627785,0.716477156907445,2456932.389757907
24,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:26.170,4,0.001270438933300062,0.7954682160330447,FOV2,0.46381926262260886,0.7164753553270011,2456932.389814101
25,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:31.025,4,0.0012737331616263217,0.7954658240718661,FOV2,0.4638215520771251,0.7164735537458244,2456932.389870295
26,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:35.880,4,0.0012770274007945282,0.7954634321253474,FOV2,0.4638238415198023,0.7164717521639293,2456932.3899264885
27,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:40.736,4,0.0012803216508255916,0.7954610401935138,FOV2,0.4638261309506238,0.7164699505813287,2456932.3899826827
28,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-10-01T21:24:45.591,4,0.0012836159117344784,0.795458648276388,FOV2,0.4638284203695721,0.7164681489980329,2456932.3900388763
29,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:48:32.552,1,0.005601401425600716,2.6885358828216264,FOV2,-0.24372453566234897,0.703158267530183,2456977.5725154984
30,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:48:38.390,1,0.005599057274874085,2.6885314489943486,FOV2,-0.24372033142287042,0.7031598171654733,2456977.572583072
31,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:48:43.245,1,0.005597107788694062,2.6885277615886354,FOV2,-0.24371683495204677,0.703161105904216,2456977.5726392693
32,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:48:48.101,1,0.0055951583265291625,2.6885240741701724,FOV2,-0.24371333846688,0.7031623946291762,2456977.5726954667
33,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:48:52.956,1,0.005593208888432943,2.68852038673893,FOV2,-0.2437098419673497,0.7031636833403615,2456977.5727516636
34,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:48:57.812,1,0.005591259474453749,2.6885166992948824,FOV2,-0.2437063454534371,0.7031649720377776,2456977.572807861
35,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:49:02.667,1,0.005589310084635873,2.6885130118380074,FOV2,-0.24370284892512728,0.7031662607214294,2456977.5728640584
36,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:49:07.522,1,0.005587360719017162,2.688509324368283,FOV2,-0.24369935238240448,0.7031675493913228,2456977.572920256
37,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:49:12.378,1,0.005585411377631193,2.6885056368856923,FOV2,-0.24369585582525627,0.7031688380474622,2456977.572976453
38,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T01:49:17.233,1,0.005583462060506993,2.6885019493902207,FOV2,-0.24369235925367377,0.703170126689849,2456977.5730326506
39,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:07.819,4,-0.00038827951968226396,2.676918217775215,FOV1,-0.2326971476600392,0.7071283257033701,2456977.7486199997
40,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:18.513,4,-0.00039240452963514136,2.676910009087163,FOV1,-0.23268934790208762,0.7071310670466481,2456977.7487437683
41,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:23.368,4,-0.0003942774266085475,2.676906281960623,FOV1,-0.23268580644499162,0.7071323117144501,2456977.748799965
42,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:28.223,4,-0.00039615029895055946,2.676902554821609,FOV1,-0.23268226497362618,0.7071335563678897,2456977.7488561613
43,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:33.079,4,-0.0003980231467074667,2.6768988276701458,FOV1,-0.23267872348800805,0.7071348010069604,2456977.7489123577
44,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:37.934,4,-0.00039989596993117833,2.676895100506259,FOV1,-0.2326751819881563,0.7071360456316558,2456977.748968554
45,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:42.789,4,-0.0004017687686801197,2.6768913733299753,FOV1,-0.2326716404740891,0.7071372902419703,2456977.7490247507
46,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:47.645,4,-0.0004036415430077473,2.6768876461413242,FOV1,-0.23266809894582755,0.7071385348378963,2456977.7490809476
47,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T06:02:52.500,4,-0.0004055142928954507,2.6768839189402986,FOV1,-0.2326645574033668,0.7071397794194355,2456977.749137144
48,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:48:46.857,6,-0.0028352536518503873,2.6719952996584198,FOV2,-0.2280173597229139,0.7087562409833149,2456977.822683729
49,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:48:52.695,6,-0.002837466469008167,2.6719907983990945,FOV2,-0.22801307881972652,0.7087577146945679,2456977.822751301
50,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:48:57.550,6,-0.002839306730841156,2.6719870549140454,FOV2,-0.22800951859172755,0.7087589402901744,2456977.8228074973
51,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:49:02.405,6,-0.002841146968047813,2.671983311416777,FOV2,-0.22800595834959905,0.7087601658711451,2456977.8228636933
52,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:49:07.261,6,-0.0028429871806143754,2.671979567907284,FOV2,-0.22800239809333733,0.7087613914374813,2456977.8229198894
53,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:49:12.116,6,-0.002844827368480676,2.671975824385538,FOV2,-0.2279988378229216,0.7087626169891894,2456977.8229760854
54,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:49:16.971,6,-0.002846667531591152,2.67197208085151,FOV2,-0.22799527753833188,0.7087638425262761,2456977.823032282
55,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:49:21.827,6,-0.0028485076698960177,2.6719683373051746,FOV2,-0.22799171723954972,0.7087650680487466,2456977.823088478
56,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:49:26.682,6,-0.0028503477833492032,2.6719645937465115,FOV2,-0.2279881569265603,0.7087662935566058,2456977.823144674
57,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-16T07:49:31.537,6,-0.0028521878719111366,2.671960850175498,FOV2,-0.22798459659934814,0.7087675190498578,2456977.8232008703
58,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:07:42.884,5,-0.002074611656189988,2.15690903850494,FOV1,0.2735173459880304,0.707632299628428,2456985.002606441
