,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rad_rsun,1.4931126,0.064612,1.367132,1.6112623,0.0004406,0.0003133,21585.9208202,14533.6358456,1.0003716
mass_msun,1.3819824,0.2330848,0.9396566,1.8168553,0.0017593,0.001255,17532.1254762,15582.2466582,1.0003211
plx_mas,10.393244,0.0084844,10.3771369,10.4089534,5.54e-05,3.92e-05,23508.7881781,16763.7910937,1.0001659
RA_offset_mas,1.9331591,0.0100196,1.9144644,1.9522554,6.78e-05,4.8e-05,21837.4354374,18814.3217191,1.0009849
DEC_offset_mas,0.6285799,0.0107652,0.6086841,0.6493099,7.89e-05,5.58e-05,18712.1729499,14940.7685114,1.0001241
pmRA_masyr,39.4967343,0.0016323,39.4936537,39.4997688,1.08e-05,7.6e-06,23023.4090127,17170.0332657,1.0006648
pmDEC_masyr,19.9699516,0.0017704,19.9666353,19.9733095,1.25e-05,8.9e-06,19938.5832367,13018.2978403,1.0002191
t0_jd_b,2460200.0000239,0.0396311,2460199.9233836,2460200.073012,0.000258,0.0074225,23221.5314078,20658.8570825,1.0003145
per_d_b,731.0293485,4.8237777,721.6119207,739.8386294,0.0347011,0.0245378,19384.3974495,15157.1714763,1.0002972
b_b,0.4009416,0.1003989,0.2068281,0.584651,0.0007462,0.0005533,18161.2309106,12284.9563844,1.0000371
ecs_b[0],-0.006124,0.4983327,-0.8614281,0.8539861,0.0037996,0.002826,17604.8270466,22260.2988945,1.0003016
ecs_b[1],-0.0028023,0.5006139,-0.8522343,0.8691866,0.0043799,0.0030971,13441.5840918,19073.4929857,1.0005827
ecc_b,0.4989826,0.2873994,0.0277597,0.9622509,0.0027371,0.0019355,6763.1036881,2329.9977829,1.0004303
little_omega_rad_b,-0.0019668,1.8227252,-2.9847014,2.9172986,0.0157579,0.0117995,15806.5171963,23970.6217099,1.0005697
omega_p_b,-0.0057612,1.8305556,-3.1372524,2.7682773,0.0248312,0.0210931,6988.1602261,12762.6566586,1.0010091
big_Omega_rad_b,-0.0095556,3.948484,-8.3889019,4.3908526,0.0508504,0.0359584,7146.1423055,15964.7703637,1.0012534
omega_ms,-0.0037944,2.4709295,-5.672099,3.3775755,0.02812,0.0198846,7939.4356053,12068.0909961,1.0004416
logmpl_mjup_b,1.5761586,0.1845898,1.2156646,1.9099354,0.0013298,0.0009403,19609.5377376,19312.9029995,1.0002626
mpl_mjup_b,4.9176553,0.8868144,3.230737,6.556982,0.0063047,0.0044582,19609.5377376,19312.9029995,1.0002626
